연도,지역,인구수,범죄건수,범죄율,평균소득
2017,구로구,171570.0,4895,2853.06,2278171
2017,금천구,106066.0,3265,3078.27,2451077
2017,노원구,217619.0,4209,1934.11,1727467
2017,도봉구,137378.0,1999,1455.11,1639953
2017,동대문구,159938.0,3975,2485.34,1986705
2017,동작구,172995.0,3330,1924.91,2029431
2017,마포구,169408.0,5278,3115.56,2379891
2017,서대문구,137266.0,3113,2267.86,2219753
2017,서초구,173594.0,4708,2712.08,2898523
2017,성동구,132902.0,2767,2081.99,2386608
2017,성북구,187112.0,3434,1835.26,1751865
2017,송파구,264628.0,5576,2107.11,2401889
2017,양천구,176649.0,3882,2197.58,1901150
2017,영등포구,167355.0,5969,3566.67,3025915
2017,용산구,107666.0,4060,3770.92,2464669
2017,은평구,202839.0,3883,1914.33,1674740
2017,중구,60412.0,4184,6925.78,3078491
2017,중랑구,179132.0,4571,2551.75,1744087
2018,강남구,228775.0,7513,3284.01,2759031
2018,강동구,177247.0,3919,2211.04,2308384
2018,강북구,143395.0,3437,2396.88,1655036
2018,강서구,258503.0,4629,1790.69,2503888
2018,관악구,262222.0,5026,1916.7,1823791
2018,광진구,162606.0,3915,2407.66,1997491
2018,구로구,172457.0,4810,2789.1,2348314
2018,금천구,107971.0,3293,3049.89,2548108
2018,노원구,217655.0,4007,1840.99,1782631
2018,도봉구,138087.0,2249,1628.68,1679599
2018,동대문구,161820.0,3680,2274.13,2033946
2018,동작구,177176.0,3100,1749.67,2097330
2018,마포구,172505.0,5172,2998.17,2455158
2018,서대문구,138549.0,2802,2022.39,2288074
2018,서초구,172918.0,4726,2733.09,3009448
2018,성동구,137209.0,2457,1790.7,2476470
2018,성북구,186601.0,3042,1630.22,1822824
2018,송파구,270866.0,5807,2143.86,2483148
2018,양천구,176498.0,3515,1991.52,1963020
2018,영등포구,171085.0,5840,3413.51,3182411
2018,용산구,108974.0,3411,3130.1,2539369
2018,은평구,205001.0,3590,1751.21,1736519
2018,중구,61502.0,4030,6552.63,3120706
2018,중랑구,180511.0,4288,2375.48,1795134
